previous_date,current_date,threshold_95,actual_return,breach_95,threshold_99,breach_99
2021-06-28,2021-06-29,-0.007227908326704089,-0.003598416696653395,False,-0.013736702054035953,False
2021-06-29,2021-06-30,-0.007145460662872791,-0.0028169014084507005,False,-0.013580009558515842,False
2021-06-30,2021-07-01,-0.0070134738252891765,-0.0018832391713748953,False,-0.013329167436426103,False
2021-07-01,2021-07-02,-0.006838965694223948,0.0010885341074020616,False,-0.01299751322969064,False
2021-07-02,2021-07-06,-0.0066440620995704205,-0.00021747009786154958,False,-0.012627097268668487,False
2021-07-06,2021-07-07,-0.006442209858653458,0.0,False,-0.0122434753455498,False
2021-07-07,2021-07-08,-0.006245954193808653,-0.001812645011600944,False,-0.01187048976347904,False
2021-07-08,2021-07-09,-0.006096385085846657,0.005447809980387852,False,-0.011586232385037887,False
2021-07-09,2021-07-12,-0.0062772841544576135,0.003178731397196932,False,-0.0119300326236464,False
2021-07-12,2021-07-13,-0.006209776276573593,-0.0028085841855105542,False,-0.011801733320047471,False
2021-07-13,2021-07-14,-0.006118436178757788,0.00050552466238174,False,-0.011628140677118315,False
2021-07-14,2021-07-15,-0.005935286121025953,-0.0003609065973725345,False,-0.011280062414289967,False
2021-07-15,2021-07-16,-0.00575617709126983,-0.004621272294028422,False,-0.010939664159948903,False
2021-07-16,2021-07-19,-0.005850509644526111,-0.006891548784911161,True,-0.011140432206848109,False
2021-07-19,2021-07-20,-0.0062809018953243955,-0.005478451424397401,False,-0.011936908171335914,False
2021-07-20,2021-07-21,-0.00644992177560984,0.005875872199779586,False,-0.012258131910174991,False
2021-07-21,2021-07-22,-0.00665608966450636,0.004016064257028162,False,-0.012649955759464525,False
2021-07-22,2021-07-23,-0.006638796948741223,-7.272727272722435e-05,False,-0.012617090804150527,False
2021-07-23,2021-07-26,-0.00643661430940494,0.005818604989453746,False,-0.012232840955989048,False
2021-07-26,2021-07-27,-0.006636377163245448,0.003977149468508356,False,-0.01261249198096577,False
2021-07-27,2021-07-28,-0.006616682498640514,0.0,False,-0.012575062101185388,False
2021-07-28,2021-07-29,-0.006402737909602933,0.005906078939786896,False,-0.012191975050735172,False
2021-07-29,2021-07-30,-0.006542249833713563,-0.003794930545610864,False,-0.01202488959205094,False
2021-07-30,2021-08-02,-0.006507319406363068,-0.0019406310644720648,False,-0.011960686215082924,False
2021-08-02,2021-08-03,-0.006352704253947169,0.0013682846031974893,False,-0.011676498025344538,False
2021-08-03,2021-08-04,-0.006181426370906493,0.0005034160373964536,False,-0.011361683139720512,False
2021-08-04,2021-08-05,-0.005996215450240271,0.001221966647498629,False,-0.011021258831743689,False
2021-08-05,2021-08-06,-0.0058323518717380415,-0.00402038911623237,False,-0.010720071703503248,False
2021-08-06,2021-08-09,-0.005860547470009957,-0.0015137317090752056,False,-0.010771896223327365,False
2021-08-09,2021-08-10,-0.00571150835459181,-0.0008663008951776963,False,-0.010497956989370769,False
2021-08-10,2021-08-11,-0.005547442547155924,0.0018786127167631506,False,-0.01019639815710475,False
2021-08-11,2021-08-12,-0.0054263513831034164,-0.002379922111640065,False,-0.009973828259085767,False
2021-08-12,2021-08-13,-0.005339410291899444,0.001734981565820748,False,-0.009814027418501426,False
2021-08-13,2021-08-16,-0.0052192181027078035,-0.0005773255394384558,False,-0.009593109868485458,False
2021-08-16,2021-08-17,-0.005065047719558657,-0.00794281175536149,True,-0.009309739180594688,False
2021-08-17,2021-08-18,-0.005841351057654232,0.0007278550112819193,False,-0.01061749113666895,False
2021-08-18,2021-08-19,-0.005670410313069443,-0.00552767473998117,False,-0.010306781880777481,False
2021-08-19,2021-08-20,-0.0058997391598910945,-0.0035105682732391452,False,-0.010723619864743678,False
2021-08-20,2021-08-23,-0.005879357069392843,0.006752293577981572,False,-0.010686572499660494,False
2021-08-23,2021-08-24,-0.00627142814197531,-7.290223809874874e-05,False,-0.011399217758779764,False
2021-08-24,2021-08-25,-0.006080440721933898,0.000510352872557629,False,-0.01105207080262348,False
2021-08-25,2021-08-26,-0.005898518194092072,-0.0008015739998543658,False,-0.010721400584748117,False
2021-08-26,2021-08-27,-0.005727244483101642,0.004156942823803966,False,-0.010410086114784459,False
2021-08-27,2021-08-30,-0.005781425606889377,-0.0007988960708839032,False,-0.010508568057731071,False
2021-08-30,2021-08-31,-0.005613832009181502,-0.0007995348161069504,False,-0.010203942720088652,False
2021-08-31,2021-09-01,-0.005451612336284067,0.0031279551902232416,False,-0.009909085259514536,False
2021-09-01,2021-09-02,-0.005422569974764931,0.002538071065989911,False,-0.009856296613022675,False
2021-09-02,2021-09-03,-0.005289129556602792,0.0026763110307415072,False,-0.009721609625552944,False
2021-09-03,2021-09-07,-0.005229428860636047,-0.005049776367046732,False,-0.00961187760739166,False
2021-09-07,2021-09-08,-0.005426432811090834,-0.0022476798143851173,False,-0.009973977926644069,False
2021-09-08,2021-09-09,-0.0053310765788855295,0.006830898917229655,False,-0.009798709755399086,False
2021-09-09,2021-09-10,-0.005792999569771737,-0.000577408877661445,False,-0.010647740762563125,False
2021-09-10,2021-09-13,-0.005620872934233187,-0.00021665342673504728,False,-0.01033136583943865,False
2021-09-13,2021-09-14,-0.005450270101903222,0.0002889338341518499,False,-0.010017791721206828,False
2021-09-14,2021-09-15,-0.005285391353470426,-0.0007943385326402153,False,-0.009714738674262195,False
2021-09-15,2021-09-16,-0.005133398828485814,-0.0037580400375802903,False,-0.009435370967706793,False
2021-09-16,2021-09-17,-0.00518093090150435,-0.0021762785636562088,False,-0.009522736620908204,False
